--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|วัสดุ             |คำอธิบายวัสดุ                           |Plnt|SLoc|S|เลขที่สต็อคพิเศษ        |SL|แบทช์     |BUn|         ที่ใช้ได้|     การส่ง/การโอน|ในการตรวจสอบคุณภาพ|    การใช้ที่จำกัด|             ระงับ|            ส่งคืน|
|1-00-001-0004     |POLE 12 M.                              |D010|6011| |                        |  |N         |EA |               14 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D020|6001| |                        |  |N         |EA |               16 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D020|6001| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D020|6003| |                        |  |N         |EA |               20 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D020|6006| |                        |  |N         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D020|6006| |                        |  |R         |EA |               27 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D030|6001| |                        |  |N         |EA |               13 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D030|6001| |                        |  |R         |EA |                4 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D030|6002| |                        |  |N         |EA |                4 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D030|6006| |                        |  |N         |EA |               42 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D040|6003| |                        |  |R         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D040|6004| |                        |  |N         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D040|6004| |                        |  |R         |EA |                9 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D040|6006| |                        |  |N         |EA |               19 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D050|6001| |                        |  |N         |EA |               44 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D050|6004| |                        |  |N         |EA |              183 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D060|0021| |                        |  |N         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D060|0022| |                        |  |N         |EA |               77 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D060|6007| |                        |  |N         |EA |               17 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D060|6008| |                        |  |N         |EA |               20 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D060|6009| |                        |  |N         |EA |              115 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D060|6009| |                        |  |R         |EA |               10 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D060|6010| |                        |  |N         |EA |               42 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D060|6011| |                        |  |N         |EA |               69 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D070|6001| |                        |  |N         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D070|6003| |                        |  |N         |EA |                5 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D090|6001| |                        |  |R         |EA |               15 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D090|6003| |                        |  |N         |EA |               55 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D090|6003| |                        |  |R         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D100|0021| |                        |  |N         |EA |               22 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D100|6002| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D100|6004| |                        |  |N         |EA |                9 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D100|6004| |                        |  |R         |EA |               87 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D110|0021| |                        |  |N         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D110|0022| |                        |  |R         |EA |                9 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D120|0022| |                        |  |N         |EA |                9 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D120|6002| |                        |  |N         |EA |                6 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D120|6002| |                        |  |R         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D120|6003| |                        |  |N         |EA |               16 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D120|6004| |                        |  |N         |EA |               46 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D120|6004| |                        |  |R         |EA |               11 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D130|6001| |                        |  |N         |EA |               20 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D130|6001| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D130|6007| |                        |  |N         |EA |               11 |                0 |                0 |                0 |                0 |                0 |
